"","v1","v2","asso","diss","adja"
"154","Frankiaceae","Streptomycetaceae2","0.20017612269195","0.632385909594786","0.367614090405214"
"155","Frankiaceae","Oxalobacteraceae","0.199227374280377","0.632760865461678","0.367239134538322"
"156","Paludibacteraceae","Sterolibacteriaceae","0.0676213210501628","0.682780593950149","0.317219406049851"
"157","Paludibacteraceae","Acidobacteriaceae4","0.0674057948925375","0.682859504256718","0.317140495743282"
"158","Paludibacteraceae","Thiobacillaceae","0.0669166660593778","0.683038554526984","0.316961445473016"
"159","Paludibacteraceae","Rhodocyclaceae","0.00297509451684164","0.706054142925016","0.293945857074984"
"160","Paludibacteraceae","Methylococcaceae","0.0666417955857353","0.683139152886974","0.316860847113026"
"161","Xanthomonadaceae","Ktedonobacteraceae2","0.200195009286093","0.632378443146945","0.367621556853055"
"162","Xanthomonadaceae","Desulfuromonadaceae","0.199245567585203","0.632753677355888","0.367246322644112"
"163","Ktedonobacteraceae2","Desulfuromonadaceae","0.198296125884248","0.633128689176123","0.366871310823877"
"164","Micrococcaceae","Cytophagaceae1","0.133614330257387","0.658173863710271","0.341826136289729"
"165","Streptomycetaceae2","Oxalobacteraceae","0.19827862586873","0.633135599272095","0.366864400727905"
"166","Rubrobacteraceae","Sphaerobacteraceae","0.200178682224141","0.632384897738655","0.367615102261345"
"167","Rubrobacteraceae","Thioalkalispiraceae","0.199225055106712","0.632761781752536","0.367238218247464"
"168","Sterolibacteriaceae","Acidobacteriaceae4","0.0671902687349596","0.682938405445557","0.317061594554443"
"169","Sterolibacteriaceae","Thiobacillaceae","0.066701139901776","0.68311743503523","0.31688256496477"
"170","Sterolibacteriaceae","Rhodocyclaceae","0.00286173894127534","0.706094278782488","0.293905721217512"
"171","Sterolibacteriaceae","Methylococcaceae","0.0664262694281333","0.6832180217807","0.3167819782193"
"172","Sphaerobacteraceae","Thioalkalispiraceae","0.198271427989242","0.633138441421289","0.366861558578711"
"173","Kineosporiaceae","Paenibacillaceae2","0.13181366090162","0.658857472864344","0.341142527135656"
"174","Kineosporiaceae","Peptococcaceae","0.132772731578264","0.658493457986386","0.341506542013614"
"175","Kineosporiaceae","Syntrophobacteraceae","0.132717109155848","0.658514574950377","0.341485425049623"
"176","Paenibacillaceae2","Peptococcaceae","0.1337318022549","0.658129241769844","0.341870758230156"
"177","Paenibacillaceae2","Syntrophobacteraceae","0.133676179832497","0.658150370419824","0.341849629580176"
"178","Peptococcaceae","Syntrophobacteraceae","0.133620557410096","0.65817149839153","0.34182850160847"
"179","Acidobacteriaceae4","Thiobacillaceae","0.0662120110686288","0.683296417717586","0.316703582282414"
"180","Acidobacteriaceae4","Rhodocyclaceae","0.00305634411871014","0.706025373439684","0.293974626560316"
"181","Acidobacteriaceae4","Methylococcaceae","0.0659371405949873","0.683396978119238","0.316603021880762"
"182","Alicyclobacillaceae","Rhodocyclaceae","0.0351961068976024","0.694551615469433","0.305448384530567"
"183","Thiobacillaceae","Rhodocyclaceae","0.00341092012429534","0.705899808710735","0.294100191289265"
"184","Thiobacillaceae","Methylococcaceae","0.0656622701213242","0.683497523725827","0.316502476274173"
"185","Rhodocyclaceae","Methylococcaceae","0.00366167112666921","0.705810997673361","0.294189002326639"
